rms_error,rms_pos_error,rms_vel_error,rms_torque,settling_time_s,mean_solve_time_ms,max_solve_time_ms,scenario
1.488055275652225,0.0487059761726375,1.487257957209001,2.900200462494125,5.695999999999595,0.1358417193411537,1.7479999987699557,nominal
2.1802832204210176,0.08305454766324606,2.1787007282694653,4.116041825900133,nan,0.11310869706733133,0.3735999998752959,noise_high
1.5321975263660337,0.0533583370341765,1.5312681501523957,2.974112438849417,nan,0.12007707425455852,1.1741000016627368,noise_low
1.8256374938479958,0.05652479420087793,1.8247622328906687,3.6603391137400543,5.821999999999581,0.11873282234386784,0.6241000010049902,noise_mid
0.008703817021997655,0.003123419781067401,0.008124080232472658,0.009791759526722073,0.0,0.12361819390765166,0.6270000012591481,torque_limit_low
0.6533127272541317,0.020092485668769384,0.6530036842253508,1.2205238456442464,3.327999999999855,0.11584965022560426,0.6766000005882233,torque_limit_mid
1.990561953469061,0.07378329916227891,1.9891940366297334,3.7368175391365357,5.765999999999587,0.11500609802835021,0.5658999980369117,mismatch_high
1.8495308983333378,0.05896408664193685,1.8485907552447096,3.505537473007207,5.92199999999957,0.11735884711833054,0.5299000004015397,mismatch_low
1.9499735543714338,0.05594005312179438,1.9491709963994166,3.5392610439656766,nan,0.11793155629935037,0.7813000011083204,mismatch_mid
1.6346685219761976,0.11321653764166284,1.630743141130534,3.108447929292237,nan,0.12668117288600467,1.6259000003628898,impulse_high
1.3402224205249036,0.05407429972390573,1.339131101344077,2.5418162798081836,nan,0.12611116287917623,0.5033999987062998,impulse_low
0.831026414772438,0.05776123053957845,0.8290166115923648,1.6506786852308828,nan,0.11615478174973286,0.558600000658771,impulse_mid
0.8795208886083041,0.029248894854132797,0.8790344109579287,1.6053258678711424,5.891999999999573,0.11828897018672009,1.421100001607556,combined_stress
